date,day_week,open,high,low,close
20190621,5,64.8600000,65.7600000,64.0000000,65.3500000
20190624,1,65.5000000,65.7900000,64.0800000,64.7800000
20190625,2,64.8900000,65.9800000,64.1700000,65.0400000
20190626,3,65.1000000,66.0200000,64.7700000,65.5300000
20190627,4,65.1600000,65.9600000,64.8500000,65.4300000
20190628,5,65.5300000,65.9100000,64.0200000,64.5500000
20190701,1,65.0500000,66.7500000,64.2200000,65.2200000
20190702,2,64.8000000,65.5100000,62.2200000,62.8200000
20190703,3,62.9000000,64.0100000,62.0900000,63.8600000
20190704,4,63.8800000,64.0700000,62.9500000,63.1800000
20190705,5,63.2700000,64.5200000,62.9100000,64.4400000
20190708,1,64.3400000,65.1400000,63.7900000,63.8900000
20190709,2,63.8100000,64.7500000,63.7600000,64.5400000
20190710,3,64.7800000,67.1200000,64.6300000,66.7200000
20190711,4,66.8100000,67.6500000,66.4300000,66.8100000
20190712,5,66.8300000,67.2900000,66.5100000,67.0000000
20190715,1,66.8700000,67.4700000,66.1100000,66.1900000
20190716,2,66.3100000,67.0900000,63.8200000,64.4000000
20190717,3,64.4400000,65.2800000,63.2200000,63.6000000
20190718,4,63.5200000,64.4600000,61.2900000,62.5900000
20190719,5,62.5000000,63.3700000,61.8300000,62.6500000
20190722,1,63.0500000,64.0300000,62.7700000,63.3000000
20190723,2,63.2600000,64.4600000,62.6600000,64.2100000
20190724,3,64.1300000,64.6600000,62.5900000,63.1300000
20190725,4,63.2000000,64.2300000,62.9500000,62.9500000
20190726,5,63.1700000,63.7700000,62.9200000,63.2700000
20190729,1,63.2300000,63.8200000,62.8500000,63.7400000
20190730,2,63.8000000,65.1000000,63.7800000,64.9600000
20190731,3,64.8600000,65.4300000,64.1700000,65.0500000
20190801,4,64.0900000,64.5400000,60.0200000,60.5000000
20190802,5,61.1600000,62.9500000,60.9800000,61.1700000
20190805,1,61.8900000,61.8900000,59.6600000,59.8100000
20190806,2,59.5600000,60.5600000,58.5500000,58.9400000
20190807,3,58.6800000,59.2300000,55.8800000,56.2300000
20190808,4,57.4800000,58.0100000,56.7700000,57.7500000
20190809,5,57.7400000,59.1000000,57.1100000,58.4200000
20190812,1,58.3000000,58.8800000,57.8800000,58.3700000
20190813,2,58.4700000,61.5000000,58.0000000,60.9100000
20190814,3,61.0700000,61.0800000,58.2100000,58.9900000
20190815,4,59.0700000,59.4200000,57.6700000,58.4000000
20190816,5,58.4100000,59.5000000,58.2800000,58.6400000
20190819,1,58.7200000,59.9200000,58.6400000,59.7400000
20190820,2,59.6800000,60.3200000,58.9500000,60.0500000
20190821,3,60.1100000,61.4100000,60.0700000,60.3800000
20190822,4,60.4300000,60.8900000,59.4700000,60.0500000
20190823,5,60.1100000,60.2900000,58.3000000,58.9400000
20190826,1,57.9600000,59.6100000,57.7400000,58.2600000
20190827,2,58.2600000,59.7000000,58.0600000,59.5900000
20190828,3,59.5800000,60.4800000,59.3200000,59.8400000
20190829,4,59.8900000,60.6000000,59.4200000,60.3700000
20190830,5,60.3400000,60.6200000,58.4800000,59.1900000
20190902,1,58.8000000,59.2600000,58.1000000,58.6100000
20190903,2,58.5400000,58.8700000,57.2300000,58.2700000
20190904,3,58.1700000,60.9600000,58.1300000,60.4300000
20190905,4,60.4900000,62.4000000,60.2500000,60.8000000
20190906,5,60.8100000,61.8800000,59.4000000,61.7800000
20190909,1,61.6000000,63.0000000,61.5700000,62.7100000
20190910,2,62.8200000,63.7800000,62.1700000,62.7100000
20190911,3,62.8800000,63.2700000,60.5200000,61.0200000
20190912,4,61.1600000,61.3900000,58.9200000,60.4900000
20190913,5,60.4500000,60.8100000,59.6000000,60.2500000
20190916,1,66.4500000,71.9500000,64.7500000,68.0200000
20190917,2,68.1500000,69.2600000,63.5500000,64.1600000
20190918,3,64.2300000,64.9900000,63.0400000,63.5500000
20190919,4,63.5100000,65.5700000,63.4600000,64.8000000
20190920,5,65.0000000,65.2800000,64.0500000,64.7700000
20190923,1,65.2300000,65.5000000,63.5300000,64.3800000
20190924,2,64.4000000,64.6000000,62.3000000,62.3600000
20190925,3,62.4400000,62.8100000,61.2400000,61.5600000
20190926,4,61.5600000,61.9200000,60.5000000,61.6100000
20190927,5,61.5000000,61.8200000,59.8300000,61.1800000
20190930,1,61.4500000,61.5400000,59.1900000,59.4300000
20191001,2,59.3800000,60.1000000,58.4100000,59.2000000
20191002,3,59.2500000,59.5000000,57.2200000,57.5200000
20191003,4,57.5400000,57.9900000,56.1600000,57.6100000
20191004,5,57.6900000,58.9600000,57.6700000,58.4300000
20191007,1,58.0200000,59.6800000,58.0200000,58.4400000
20191008,2,58.4700000,58.9200000,57.3800000,58.1200000
20191009,3,58.0200000,59.3500000,57.9100000,58.3200000
20191010,4,58.0400000,59.6000000,57.8000000,59.5300000
20191011,5,59.5300000,60.6900000,59.2100000,60.6800000
20191014,1,60.6900000,60.7300000,58.5000000,59.1600000
20191015,2,59.3000000,59.6800000,58.0000000,58.9000000
20191016,3,58.9000000,59.7500000,58.3600000,59.0600000
20191017,4,58.9900000,60.0400000,58.6900000,59.8500000
20191018,5,59.7800000,60.2900000,59.0100000,59.3000000
20191021,1,59.2300000,59.5500000,58.2600000,59.0800000
20191022,2,59.0500000,60.2600000,58.7500000,59.6000000
20191023,3,59.4800000,61.3000000,58.8500000,61.1200000
20191024,4,60.9900000,61.9000000,60.6400000,61.4200000
20191025,5,61.5000000,62.1100000,60.9300000,61.6500000
20191028,1,61.7600000,62.0900000,60.9100000,61.2700000
20191029,2,61.3000000,61.6500000,60.3100000,61.2500000
20191030,3,61.2300000,61.5500000,60.0200000,60.2100000
20191031,4,60.2200000,60.8100000,59.2000000,59.5000000
20191101,5,59.4500000,61.8200000,59.4000000,61.5500000
20191104,1,61.8000000,62.7800000,61.2800000,62.1100000
20191105,2,62.0400000,63.1900000,61.8500000,62.9700000
20191106,3,62.7800000,63.3200000,61.5900000,61.7900000
20191107,4,61.7700000,62.8900000,61.6500000,62.3800000
20191108,5,62.2900000,62.7000000,60.6700000,62.6100000
20191111,1,62.6000000,62.7600000,61.5700000,62.3000000
20191112,2,62.1100000,62.8500000,61.8200000,62.0000000
20191113,3,61.8500000,62.7400000,61.2200000,62.6300000
20191114,4,62.6100000,63.2100000,62.1600000,62.4100000
20191115,5,62.4700000,63.6500000,61.7000000,63.4500000
